'#lines','H-V',dummy,subspace
500,'40-40',1874.3008,2741.1489
1000,'40-40',930.4110,1435.1250
1500,'40-40',618.3471,959.5867
2000,'40-40',481.4478,692.2993
2500,'40-40',390.1665,565.2204
3000,'40-40',324.2292,462.2043
3500,'40-40',272.4771,408.3652
4000,'40-40',241.3282,363.7397
4500,'40-40',214.0260,319.5117
5000,'40-40',193.0273,275.9233
5500,'40-40',174.3712,258.8178
6000,'40-40',159.9596,242.3515
6500,'40-40',145.6619,224.1540
7000,'40-40',135.3182,208.2101
7500,'40-40',126.8371,194.5323
8000,'40-40',118.7699,181.8607
8500,'40-40',111.9151,171.5852
9000,'40-40',104.8469,162.8910
9500,'40-40',99.4158,153.8364
10000,'40-40',94.5838,143.7687
