'#lines','H-V',dummy,subspace
500,'20-20',1874.3008,2912.3014
1000,'20-20',930.4110,1455.5339
1500,'20-20',618.3471,973.2125
2000,'20-20',481.4478,723.4787
2500,'20-20',390.1665,580.3254
3000,'20-20',324.2292,485.4654
3500,'20-20',272.4771,415.8717
4000,'20-20',241.3282,358.0188
4500,'20-20',214.0260,308.0490
5000,'20-20',193.0273,256.5648
5500,'20-20',174.3712,259.4972
6000,'20-20',159.9596,226.4275
6500,'20-20',145.6619,217.6634
7000,'20-20',135.3182,202.6605
7500,'20-20',126.8371,180.6969
8000,'20-20',118.7699,177.9889
8500,'20-20',111.9151,167.8212
9000,'20-20',104.8469,152.9167
9500,'20-20',99.4158,147.0903
10000,'20-20',94.5838,140.9300
