'#lines','H-V',dummy,subspace
500,'50-50',1874.3008,2888.8610
1000,'50-50',930.4110,1441.2549
1500,'50-50',618.3471,969.4982
2000,'50-50',481.4478,725.1396
2500,'50-50',390.1665,580.7005
3000,'50-50',324.2292,482.7907
3500,'50-50',272.4771,415.5810
4000,'50-50',241.3282,363.2844
4500,'50-50',214.0260,321.3253
5000,'50-50',193.0273,289.7402
5500,'50-50',174.3712,264.6890
6000,'50-50',159.9596,243.4839
6500,'50-50',145.6619,224.4220
7000,'50-50',135.3182,207.8895
7500,'50-50',126.8371,193.9741
8000,'50-50',118.7699,182.2374
8500,'50-50',111.9151,171.4792
9000,'50-50',104.8469,161.5389
9500,'50-50',99.4158,152.4201
10000,'50-50',94.5838,144.7277
