'#lines','H-V',dummy,subspace
500,'10-10',1874.3008,2911.9366
1000,'10-10',930.4110,1453.3926
1500,'10-10',618.3471,959.6869
2000,'10-10',481.4478,705.2201
2500,'10-10',390.1665,555.5913
3000,'10-10',324.2292,426.7999
3500,'10-10',272.4771,380.6608
4000,'10-10',241.3282,345.7193
4500,'10-10',214.0260,306.2422
5000,'10-10',193.0273,265.7515
5500,'10-10',174.3712,247.1577
6000,'10-10',159.9596,239.4591
6500,'10-10',145.6619,222.3504
7000,'10-10',135.3182,205.9974
7500,'10-10',126.8371,193.9058
8000,'10-10',118.7699,180.6523
8500,'10-10',111.9151,170.2502
9000,'10-10',104.8469,161.2835
9500,'10-10',99.4158,152.8991
10000,'10-10',94.5838,144.9868
