Benchmark started at:	May 31 14:05:41.927
Time: May 31 14:05:42.927  |Lines:   250  |FPS: 5739.433946031279
Time: May 31 14:05:44.101  |Lines:   750  |FPS: 1906.5660646237554
Time: May 31 14:05:45.626  |Lines:  1250  |FPS: 1152.327426629316
Time: May 31 14:05:47.494  |Lines:  1750  |FPS: 819.6131955842662
Time: May 31 14:05:49.714  |Lines:  2250  |FPS: 636.0412705834939
Time: May 31 14:05:52.286  |Lines:  2750  |FPS: 520.0834942873864
Time: May 31 14:05:55.209  |Lines:  3250  |FPS: 439.40954651531325
Time: May 31 14:05:58.485  |Lines:  3750  |FPS: 381.0069656794578
Time: May 31 14:06:02.109  |Lines:  4250  |FPS: 335.37920967543806
Time: May 31 14:06:06.091  |Lines:  4750  |FPS: 298.98151027661237
Time: May 31 14:06:10.436  |Lines:  5250  |FPS: 270.33380806725467
Time: May 31 14:06:15.135  |Lines:  5750  |FPS: 248.02802454362893
Time: May 31 14:06:20.167  |Lines:  6250  |FPS: 227.40458823667913
Time: May 31 14:06:25.564  |Lines:  6750  |FPS: 211.52958046088997
Time: May 31 14:06:31.292  |Lines:  7250  |FPS: 196.61558302500927
Time: May 31 14:06:37.378  |Lines:  7750  |FPS: 184.38135996420195
Time: May 31 14:06:43.801  |Lines:  8250  |FPS: 172.78745273252616
Time: May 31 14:06:50.589  |Lines:  8750  |FPS: 163.02462327594313
Time: May 31 14:06:57.723  |Lines:  9250  |FPS: 146.72286812181764
Time: May 31 14:07:05.539  |Lines:  9750  |FPS: 139.77423764375465
Benchmark finished at:	May 31 14:07:12.696
